step,time,agent_id,x,y,vx,vy,ax,ay,speed,acceleration_magnitude,field_value,field_delta,neighbor_count,nearest_neighbor_distance,mean_neighbor_distance,avoidance_gain,quark_gain,directional_derivative_gain,linear_drag_gain,action_avoidance,action_quark,action_directional_derivative,action_linear_drag
9,0.9,2,9.769528389,13.40632629,0.6991003156,4.950884342,-0.08527249098,8.005010605,4.999999523,8.005464554,88.17291046,-1.283277529,4,17.60441208,27.38478422,2.390185137,0.6892114006,3.6414,0.2084369405,1,0,1,-1
9,0.9,3,-15.44713688,-4.738316059,-2.613855124,-4.262366295,-2.074029922,-4.103219986,5.000000477,4.59760952,17.94911774,-1.005972902,4,6.257590771,18.83126915,2.122416,0.6756974516,3.290220575,0.2084369405,1,0,1,-1
9,0.9,4,-20.47628975,-0.1168653369,-4.322859764,2.512546062,-15.03664875,9.403717041,5.000000477,17.73501396,-13.25975679,-2.795338815,4,6.342697144,20.82563782,2.208161606,0.649459296,3.564291426,0.2084369405,1,0,1,-1
9,0.9,5,1.628695369,-15.33434963,-4.745234013,-1.575674891,-5.591870308,-0.1103558838,5,5.592959404,60.41715773,-0.8121621781,4,20.42000389,26.57203913,2.390185137,0.6756974516,3.714228,0.2084369405,1,0,1,-1
10,1,1,-8.388820648,12.2236948,-4.988284588,0.3420792222,-18.57830238,0.4071823359,5,18.58276367,44.63815509,-2.560701419,4,17.60287476,20.74141741,2.43798884,0.6624484819,3.864282811,0.2042682017,1,0,1,-1
10,1,2,9.827048302,13.90300655,0.5751948953,4.966804981,-0.2606226802,8.60795784,5,8.611902237,86.70547712,-1.467433334,4,18.19681931,28.06643581,2.43798884,0.6892114006,3.714228,0.2042682017,1,0,1,-1
10,1,3,-15.70550632,-5.166387558,-2.583693981,-4.280715466,-2.012570143,-4.017673969,5,4.49356699,16.97696096,-0.9721567783,4,6.830094337,19.17587304,2.16486432,0.6756974516,3.356024986,0.2042682017,1,0,1,-1
10,1,4,-20.90571594,0.1392451525,-4.294268131,2.561104774,-15.29971886,9.780871391,4.999999523,18.15893173,-16.05686395,-2.797107153,4,6.946801662,21.11172283,2.252324839,0.649459296,3.635577255,0.2042682017,1,0,1,-1
10,1,5,1.149199963,-15.4760685,-4.794953823,-1.417186141,-5.28778553,0.1689910591,5,5.290484905,59.67182374,-0.7453339883,4,20.09631729,26.77979755,2.43798884,0.6756974516,3.78851256,0.2042682017,1,0,1,-1
11,1.1,1,-8.888159752,12.24940205,-4.993386745,0.2570713162,-19.48455811,0.1504051238,4.999999523,19.48513794,42.01644703,-2.621708059,4,17.3984642,20.96352577,2.486748617,0.6624484819,3.941568467,0.2001828377,1,0,1,-1
11,1.1,2,9.871891022,14.40099144,0.4484288692,4.979850292,-0.44168365,9.303011894,4.999999523,9.313490868,85.17752164,-1.527955488,4,18.78811836,28.74095869,2.486748617,0.6892114006,3.78851256,0.2001828377,1,0,1,-1
11,1.1,3,-15.96105003,-5.596152306,-2.555433035,-4.297645569,-1.954416037,-3.931461096,4.999999523,4.390459061,16.03753704,-0.939423923,4,7.429126263,19.5233258,2.208161606,0.6756974516,3.423145486,0.2001828377,1,0,1,-1
11,1.1,4,-21.33228302,0.4000923336,-4.265662193,2.608471632,-15.55190372,10.15865326,5,18.5757885,-18.85366379,-2.796799846,4,7.572615623,21.3945601,2.297371335,0.649459296,3.7082888,0.2001828377,1,0,1,-1
11,1.1,5,0.6652624011,-15.60178471,-4.839375496,-1.257157683,-5.026327133,0.409958899,5,5.043018341,58.98356489,-0.6882588506,4,19.75786972,26.97270298,2.486748617,0.6756974516,3.864282811,0.2001828377,1,0,1,-1
12,1.2,1,-9.387859344,12.26673603,-4.996994495,0.1733402312,-20.40377045,-0.1307781488,5,20.40419006,39.33500888,-2.681438155,4,17.18320084,21.17660999,2.536483589,0.6624484819,4.020399837,0.1961791809,1,0,1,-1
12,1.2,2,9.903780937,14.89997387,0.3188968897,4.989820004,-0.6635077,9.985743523,5,10.00776291,83.59335133,-1.58417031,4,19.37764359,29.40772581,2.536483589,0.6892114006,3.864282811,0.1961791809,1,0,1,-1
12,1.2,3,-16.21395683,-6.02747345,-2.529075146,-4.313210011,-1.899709225,-3.845026493,5,4.288720608,15.12973146,-0.9078055813,4,8.050161362,19.87252665,2.252324839,0.6756974516,3.491608396,0.1961791809,1,0,1,-1
12,1.2,4,-21.75598717,0.6655617952,-4.237050056,2.654694796,-15.79229546,10.53605461,5,18.98433685,-21.64802247,-2.794358679,4,8.216499329,21.67326736,2.343318762,0.649459296,3.782454576,0.1961791809,1,0,1,-1
12,1.2,5,0.1774258316,-15.71140003,-4.878365517,-1.096154451,-4.820091248,0.6145808697,5.000000477,4.85911417,58.34181259,-0.6417523057,4,19.40555191,27.15073395,2.536483589,0.6756974516,3.941568467,0.1961791809,1,0,1,-1
13,1.3,1,-9.887776375,12.27583027,-4.999172688,0.09093768895,-21.3322506,-0.436376363,5,21.33671379,36.59551516,-2.73949372,4,16.95753098,21.38058949,2.587213261,0.6624484819,4.100807834,0.1922555973,1,0,1,-1
13,1.3,2,9.922451019,15.39962482,0.186700806,4.996513367,-0.9265418649,10.64918709,5,10.68941879,81.9577602,-1.635591129,4,19.96476555,30.06613398,2.587213261,0.6892114006,3.941568467,0.1922555973,1,0,1,-1
13,1.3,3,-16.46441841,-6.460218906,-2.50462389,-4.32745409,-1.848504663,-3.758727551,5,4.188675404,14.25242231,-0.8773091503,4,8.689696312,20.22265649,2.297371335,0.6756974516,3.561440563,0.1922555973,1,0,1,-1
13,1.3,4,-22.17683029,0.9355445504,-4.208435535,2.699827433,-16.01988602,10.91209602,5,19.383255,-24.43771927,-2.789696802,4,8.875666618,21.94718719,2.390185137,0.649459296,3.858103667,0.1922555973,1,0,1,-1
13,1.3,5,-0.3137583137,-15.80487823,-4.911841393,-0.9347810745,-4.679810524,0.7868198752,5,4.745493889,57.73550741,-0.6063051759,4,19.0403595,27.31394005,2.587213261,0.6756974516,4.020399837,0.1922555973,1,0,1,-1
14,1.4,1,-10.38777542,12.27682114,-4.999989986,0.009909865446,-22.26605797,-0.7661635876,5,22.27923584,33.80003985,-2.795475306,4,16.72192955,21.57541895,2.638957526,0.6624484819,4.18282399,0.1884104854,1,0,1,-1
14,1.4,2,9.92764473,15.89959812,0.05194186047,4.99973011,-1.230676293,11.28578949,5,11.35269165,80.27605336,-1.681706839,4,20.5488987,30.71561098,2.638957526,0.6892114006,4.020399837,0.1884104854,1,0,1,-1
14,1.4,3,-16.71262741,-6.894260883,-2.482090473,-4.340417862,-1.800930262,-3.672954559,5,4.090714455,13.40446693,-0.847955381,4,9.344996452,20.57312131,2.343318762,0.6756974516,3.632669375,0.1884104854,1,0,1,-1
14,1.4,4,-22.59481239,1.209935784,-4.179825306,2.743912697,-16.23379326,11.28559971,4.999999523,19.77121162,-27.22050416,-2.782784887,4,9.547950745,22.21583223,2.43798884,0.649459296,3.935265741,0.1884104854,1,0,1,-1
14,1.4,5,-0.8077363968,-15.88224506,-4.939781189,-0.7736674547,-4.61396122,0.9322582483,5,4.707201004,57.15342103,-0.5820863802,4,18.6633873,27.46243429,2.638957526,0.6756974516,4.100807834,0.1884104854,1,0,1,-1
15,1.5,1,-10.88772678,12.26984978,-4.999514103,-0.06971006095,-23.20104027,-1.119766235,5,23.22804642,30.95104794,-2.848991906,4,16.47688293,21.76108646,2.691736677,0.6624484819,4.26648047,0.1846422757,1,0,1,-1
15,1.5,2,9.919116974,16.39952469,-0.08527736366,4.999272823,-1.575045109,11.88741302,5,11.99130344,78.5540464,-1.722006957,4,21.12947655,31.35560465,2.691736677,0.6892114006,4.100807834,0.1846422757,1,0,1,-1
15,1.5,3,-16.95877647,-7.329474449,-2.461489201,-4.352134228,-1.757034659,-3.588009357,5,3.99511981,12.58472126,-0.819745663,4,10.01389503,20.92349863,2.390185137,0.6756974516,3.705322762,0.1846422757,1,0,1,-1
15,1.5,4,-23.00993538,1.488635302,-4.151224136,2.786995173,-16.43302345,11.65543461,5.000000477,20.14679718,-29.99405828,-2.773554121,4,10.23163891,22.4788444,2.486748617,0.649459296,4.013971056,0.1846422757,1,0,1,-1
15,1.5,5,-1.303958893,-15.94359016,-4.962225437,-0.6134486198,-4.628406048,1.05775404,5,4.747735023,56.58447377,-0.568947257,4,18.27582932,27.59639835,2.691736677,0.6756974516,4.18282399,0.1846422757,1,0,1,-1
16,1.6,1,-11.38750839,12.2550602,-4.997812271,-0.1478911638,-24.13287544,-1.496434927,5,24.17922592,28.05139531,-2.899652632,4,16.22290039,21.93760824,2.74557141,0.6624484819,4.351810079,0.1809494301,1,0,1,-1
16,1.6,2,9.896632195,16.89901924,-0.2248516232,4.994941711,-1.957933426,12.44540977,5,12.59848118,76.79809495,-1.755951451,4,21.70596313,31.98558712,2.74557141,0.6892114006,4.18282399,0.1809494301,1,0,1,-1
16,1.6,3,-17.20306015,-7.765737534,-2.442837,-4.362630844,-1.716830015,-3.504136562,5,3.902112007,11.79205249,-0.79266877,4,10.6946516,21.27350402,2.43798884,0.6756974516,3.779429217,0.1809494301,1,0,1,-1
16,1.6,4,-23.42219925,1.771546721,-4.122634411,2.829113722,-16.61663628,12.02036476,5,20.50857735,-32.75602045,-2.761962172,4,10.92534733,22.73596358,2.536483589,0.649459296,4.094250477,0.1809494301,1,0,1,-1
16,1.6,5,-1.801886678,-15.98906517,-4.979277611,-0.4547480643,-4.726350784,1.170929909,5,4.869236946,56.01801022,-0.5664635538,4,17.87900162,27.71608257,2.74557141,0.6756974516,4.26648047,0.1809494301,1,0,1,-1
17,1.7,1,-11.8870039,12.23259926,-4.994952202,-0.2246099412,-25.05711555,-1.895226717,4.999999523,25.1286869,25.10430466,-2.947090656,4,15.96050835,22.10503292,2.800482838,0.6624484819,4.438846281,0.1773304415,1,0,1,-1
17,1.7,2,9.859964371,17.39767265,-0.366679281,4.986536026,-2.376770735,12.95067787,4.999999523,13.16697025,75.01507645,-1.783018504,4,22.27784348,32.60505199,2.800482838,0.6892114006,4.26648047,0.1773304415,1,0,1,-1
17,1.7,3,-17.4456749,-8.20293045,-2.426155329,-4.371929646,-1.680340528,-3.421563148,5,3.81190753,11.02533844,-0.7667140517,4,11.38584614,21.62296367,2.486748617,0.6756974516,3.855017802,0.1773304415,1,0,1,-1
17,1.7,4,-23.83160591,2.058577538,-4.094059944,2.870309114,-16.78363037,12.37914467,5,20.85505867,-35.50397034,-2.747949891,4,11.62794209,22.9870038,2.587213261,0.649459296,4.176135486,0.1773304415,1,0,1,-1
17,1.7,5,-2.30099678,-16.01888084,-4.991102219,-0.2981599569,-4.908350468,1.279728293,5,5.072436333,55.44404058,-0.5739696385,4,17.47432518,27.82180357,2.800482838,0.6756974516,4.351810079,0.1773304415,1,0,1,-1
18,1.8,1,-12.38610363,12.20261478,-4.991001129,-0.299847424,-25.96921349,-2.314916849,5,26.07218742,22.11335802,-2.990946639,4,15.69025898,22.26343226,2.856492495,0.6624484819,4.527623207,0.1737838327,1,0,1,-1
18,1.8,2,9.808897972,17.89505768,-0.5106631517,4.973854065,-2.82799077,13.39376545,5,13.68906498,73.21241583,-1.802660616,4,22.84460831,33.21350479,2.856492495,0.6892114006,4.351810079,0.1737838327,1,0,1,-1
18,1.8,3,-17.68682098,-8.640934944,-2.41146946,-4.380047321,-1.647567749,-3.340464354,5,3.724672079,10.28347541,-0.7418630297,4,12.08630085,21.97179437,2.536483589,0.6756974516,3.932118158,0.1737838327,1,0,1,-1
18,1.8,4,-24.23815536,2.349639177,-4.065502644,2.910616636,-16.93307114,12.73042679,5,21.18472672,-38.23545473,-2.731484387,4,12.33847427,23.23183775,2.638957526,0.649459296,4.259658196,0.1737838327,1,0,1,-1
18,1.8,5,-2.800788641,-16.03330421,-4.997919559,-0.1442343593,-5.172501564,1.391950727,5.000000477,5.356519222,54.85343221,-0.5906083702,4,17.06334305,27.91394663,2.856492495,0.6756974516,4.438846281,0.1737838327,1,0,1,-1
19,1.9,1,-12.88470554,12.16525555,-4.986023426,-0.3735937178,-26.86458778,-2.754107714,5,27.00539207,19.08246997,-3.030888049,4,15.41273022,22.41290784,2.913622345,0.6624484819,4.618175671,0.1703081561,1,0,1,-1
19,1.9,2,9.743227005,18.39072609,-0.6567075253,4.95668602,-3.306901217,13.76498318,5,14.15663624,71.39805685,-1.814358975,4,23.40577316,33.8104763,2.913622345,0.6892114006,4.438846281,0.1703081561,1,0,1,-1
19,1.9,3,-17.9267025,-9.079634666,-2.398809433,-4.386993408,-1.618540525,-3.261012554,4.999999523,3.64058733,9.565376236,-0.7180991767,4,12.79502583,22.31999373,2.587213261,0.6756974516,4.010760521,0.1703081561,1,0,1,-1
19,1.9,4,-24.64185143,2.644646406,-4.036962509,2.950073242,-17.06396294,13.0728817,5,21.49602509,-40.94797318,-2.712518454,4,13.05613804,23.47039151,2.691736677,0.649459296,4.34485136,0.1703081561,1,0,1,-1
19,1.9,5,-3.300788164,-16.03264999,-4.999995708,0.006533049513,-5.514788151,1.514852643,5,5.719061852,54.23804496,-0.6153872454,4,16.64772606,27.99295902,2.913622345,0.6756974516,4.527623207,0.1703081561,1,0,1,-1
20,2,1,-13.38271332,12.12067127,-4.980082512,-0.445844382,-27.7386322,-3.211140156,5,27.92388153,16.01585595,-3.066614019,4,15.12853146,22.55358148,2.971894792,0.6624484819,4.710539184,0.1669019929,1,0,1,-1
20,2,2,9.662755013,18.88420868,-0.8047211766,4.934817791,-3.807670832,14.05453205,5,14.5611887,69.58045579,-1.817601067,4,23.96085739,34.395504,2.971894792,0.6892114006,4.527623207,0.1669019929,1,0,1,-1
20,2,3,-18.16552353,-9.518912315,-2.388210058,-4.392772675,-1.593258381,-3.183320999,5,3.559775829,8.869978147,-0.6953980888,4,13.51118088,22.66762447,2.638957526,0.6756974516,4.090975731,0.1669019929,1,0,1,-1
20,2,4,-25.042696,2.943517208,-4.008444786,2.988707066,-17.17544556,13.40502644,5,21.78739738,-43.63901323,-2.691040049,4,13.78023911,23.70262671,2.74557141,0.649459296,4.431748387,0.1669019929,1,0,1,-1
20,2,5,-3.800551891,-16.01727867,-4.997636795,0.153712213,-5.929374218,1.654886723,5,6.155983448,53.59082707,-0.6472178979,4,16.22926712,28.05935144,2.971894792,0.6756974516,4.618175671,0.1669019929,1,0,1,-1
21,2.1,1,-13.88003731,12.06901169,-4.973241329,-0.5165980458,-28.58679581,-3.684112072,5,28.82321358,12.91801541,-3.097840542,4,14.83830738,22.68559623,3.031332688,0.6624484819,4.804749968,0.1635639531,1,0,1,-1
21,2.1,2,9.567293167,19.37501144,-0.954616487,4.908024788,-4.323227882,14.2526741,5,14.89392567,67.76855604,-1.811899752,4,24.50938606,34.96814108,3.031332688,0.6892114006,4.618175671,0.1635639531,1,0,1,-1
21,2.1,3,-18.40349388,-9.958650589,-2.37970829,-4.397384167,-1.571639657,-3.107397079,5,3.482235909,8.196263769,-0.6737143781,4,14.23403072,23.01480842,2.691736677,0.6756974516,4.172795246,0.1635639531,1,0,1,-1
21,2.1,4,-25.44069099,3.246171951,-3.97995019,3.026548386,-17.26655388,13.72543335,5,22.05723,-46.30602609,-2.667012858,4,14.41802979,23.92854285,2.800482838,0.649459296,4.520383355,0.1635639531,1,0,1,-1
21,2.1,5,-4.299669266,-15.98758507,-4.991175175,0.2969379425,-6.409211159,1.817402363,5,6.661901951,52.90584241,-0.6849846524,4,15.80989838,28.1136899,3.031332688,0.6756974516,4.710539184,0.1635639531,1,0,1,-1
22,2.2,1,-14.37659359,12.01042557,-4.965558529,-0.5858579278,-29.40458107,-4.170942307,5,29.69892502,9.793695697,-3.124319709,4,14.54273701,22.80911613,3.091959342,0.6624484819,4.900844967,0.160292674,1,0,1,-1
22,2.2,2,9.456661224,19.8626194,-1.106315136,4.876070499,-4.845285416,14.34989548,4.999999523,15.14583397,65.97176777,-1.796788268,4,25.05088425,35.52793694,3.091959342,0.6892114006,4.710539184,0.160292674,1,0,1,-1
22,2.2,3,-18.64082909,-10.39873314,-2.373346806,-4.400820732,-1.553705335,-3.033308983,5,3.408073187,7.543241811,-0.6530219578,4,14.96293736,23.36172557,2.74557141,0.6756974516,4.256251151,0.160292674,1,0,1,-1
22,2.2,4,-25.83583832,3.552534342,-3.951480865,3.06362462,-17.33640289,14.03258133,4.999999523,22.30390549,-48.94644158,-2.640415493,4,14.11475849,24.14816642,2.856492495,0.649459296,4.610791022,0.160292674,1,0,1,-1
22,2.2,5,-4.797765255,-15.94399357,-4.980961323,0.435916543,-6.946304321,2.006641388,5,7.230335712,52.17827594,-0.727566476,4,15.39169025,28.1565969,3.091959342,0.6756974516,4.804749968,0.160292674,1,0,1,-1
23,2.3,1,-14.87230301,11.94506264,-4.957092762,-0.6536336541,-30.18758774,-4.66940403,5.000000477,30.54658508,6.647865936,-3.145829761,4,14.2425499,22.9243207,3.153798528,0.6624484819,4.998861867,0.1570868205,1,0,1,-1
23,2.3,2,9.330687523,20.34648895,-1.259741068,4.838703632,-5.364174843,14.33715534,5,15.3077879,64.19990792,-1.771859853,4,25.58488274,36.07445669,3.153798528,0.6892114006,4.804749968,0.1570868205,1,0,1,-1
23,2.3,3,-18.87774658,-10.8390398,-2.369173765,-4.403069019,-1.539442062,-2.961062431,5,3.337330103,6.909953703,-0.6332881077,4,14.91242123,23.70860386,2.800482838,0.6756974516,4.341376174,0.1570868205,1,0,1,-1
23,2.3,4,-26.22814178,3.86253047,-3.92303896,3.099962234,-17.38410568,14.32493973,5,22.52578545,-51.55767655,-2.61123497,4,13.80701447,24.36154699,2.913622345,0.649459296,4.703006842,0.1570868205,1,0,1,-1
23,2.3,5,-5.294500828,-15.88695145,-4.967355728,0.5704210997,-7.532298565,2.225633144,5.000000477,7.854232311,51.40438334,-0.7738925955,4,14.97686291,28.18874574,3.153798528,0.6756974516,4.900844967,0.1570868205,1,0,1,-1
